,BUS1,BUS2,BUS3,CI,G_MAG,B_MAG,WI1,WI2,WI3,WI_V,WI_A,ARE,OWN,NAME,BUS4,NAME2
138,229,7892,0,01,0.000,0.000,1,1,0,0.000000,0.00000,513,0,B.ALTO-GO230-BALTO-CE,,
139,229,2980,43502,01,0.000,0.000,1,1,1,1.032466,7.33032,513,0,B.ALTO-GO230-BALTO1-G,43501,BALTO1-GO000
140,229,2980,43504,02,0.000,0.000,1,1,1,1.032421,7.32120,513,0,B.ALTO-GO230-BALTO2-G,43503,BALTO2-GO000
141,229,2980,43506,03,0.000,0.000,1,1,1,1.032553,7.34557,513,0,B.ALTO-GO230-BALTO3-G,43505,BALTO3-GO000
142,230,235,43512,01,0.000,0.000,1,1,1,0.986834,22.31067,513,0,S.MESA-GO230-SMEST1-G,43511,SMEST1-GO000
143,230,235,43514,02,0.000,0.000,1,1,1,0.987675,22.39215,513,0,S.MESA-GO230-SMEST2-G,43513,SMEST2-GO000
144,230,239,43564,04,0.000,0.000,1,1,1,1.007676,20.85241,513,0,S.MESA-GO230-SMEST4-G,43563,SMEST4-GO000
145,230,239,43566,05,0.000,0.000,1,1,1,1.007676,20.85241,513,0,S.MESA-GO230-SMEST5-G,43565,SMEST5-GO000
146,230,239,43568,06,0.000,0.000,1,1,1,1.007676,20.85241,513,0,S.MESA-GO230-SMEST6-G,43567,SMEST6-GO000
147,231,238,241,01,0.000,0.000,1,1,1,1.000899,0.36047,513,0,R.VERD-GO230-RVERT1-G,240,RVERT1-GO000
148,231,238,3961,02,0.000,0.000,1,1,1,0.992037,0.45426,513,0,R.VERD-GO230-RVERT2-G,3960,RVERT2-GO000
149,231,238,3973,03,0.000,0.000,1,1,1,0.951751,0.45534,513,0,R.VERD-GO230-RVERT3-G,3971,RVERT3-GO000
150,233,234,43600,02,0.000,0.000,1,1,1,0.967825,15.00955,561,0,SAMAMB-DF500-SAMAT2-D,43599,SAMAT2-DF000
151,233,234,43602,03,0.000,0.000,1,1,1,0.967546,15.10691,561,0,SAMAMB-DF500-SAMAT3-D,43601,SAMAT3-DF000
152,233,234,43604,08,0.000,0.000,1,1,1,0.932753,15.26907,561,0,SAMAMB-DF500-SAMAT8-D,43603,SAMAT8-DF000
153,233,234,43652,01,0.000,0.000,1,1,1,0.968402,14.52908,561,0,SAMAMB-DF500-SAMAT1-D,43651,SAMAT1-DF000
154,234,237,43606,04,0.000,0.000,1,1,1,1.048528,14.39270,562,0,SAMAMB-DF345-SAMAT4-D,43605,SAMAT4-DF000
155,234,237,43608,05,0.000,0.000,1,1,1,1.048658,14.39151,562,0,SAMAMB-DF345-SAMAT5-D,43607,SAMAT5-DF000
156,234,237,43610,06,0.000,0.000,1,1,1,0.911565,14.38280,562,0,SAMAMB-DF345-SAMAT6-D,43609,SAMAT6-DF000
157,234,237,43612,07,0.000,0.000,1,1,1,1.051876,14.36271,562,0,SAMAMB-DF345-SAMAT7-D,43611,SAMAT7-DF000
158,235,36,0,01,0.000,0.000,1,1,0,0.000000,0.00000,511,0,S.MESA-GO500-S.MESAUH,,
159,235,37,0,01,0.000,0.000,1,1,0,0.000000,0.00000,511,0,S.MESA-GO500-S.MESASI,,
160,249,7086,0,01,0.000,0.000,1,1,0,0.000000,0.00000,517,0,RCLARO-GO138-RCLARO-G,,
