,BUS1,BUS2,BUS3,CI,G_MAG,B_MAG,WI1,WI2,WI3,WI_V,WI_A,ARE,OWN,NAME,BUS4,NAME2
907,1089,1099,43376,01,0.000,0.000,1,1,1,0.977447,-9.13434,402,0,CHAPAD-MS230-CHA--1-M,43375,CHA--1-MS000
908,1093,1092,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,IVINHE-MS138-IVINHE-M,,
909,1093,1835,1837,01,0.000,0.000,1,1,1,0.919334,-15.76708,403,0,IVINHE-MS138-IVINHE-M,1836,IVINHE-MS000
910,1101,1100,0,01,0.000,0.000,1,1,0,0.000000,0.00000,241,0,IPU-50-PR500-IPU-50UH,,
911,1106,1107,0,01,0.000,0.000,1,1,0,0.000000,0.00000,101,0,IPU-60-PR500-IPU-60UH,,
912,1108,1109,0,01,0.000,0.000,1,1,0,0.000000,0.00000,351,0,C.PJUS-MG500-PJUSCE-M,,
913,1111,1109,0,01,0.000,0.000,1,1,0,0.000000,0.00000,351,0,PJUSC1-MG034-PJUSCE-M,,
914,1112,1109,0,01,0.000,0.000,1,1,0,0.000000,0.00000,351,0,PJUSC2-MG034-PJUSCE-M,,
915,1113,1109,0,01,0.000,0.000,1,1,0,0.000000,0.00000,351,0,PJUSCE-MG013-PJUSCE-M,,
916,1119,9682,0,01,0.000,0.000,1,1,0,0.000000,0.00000,404,0,AMANDI-MS230-AMANDIBI,,
917,1121,1122,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,DOUIND-MS138-DOUIND-M,,
918,1123,1124,0,01,0.000,0.000,1,1,0,0.000000,0.00000,405,0,PASTEMBIO013-PASTEM-M,,
919,1123,1124,0,02,0.000,0.000,1,1,0,0.000000,0.00000,405,0,PASTEMBIO013-PASTEM-M,,
920,1127,10236,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,JARDIM-MS138-JARDIM-M,,
921,1131,1803,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,AQUIDA-MS138-AQUIDA-M,,
922,1131,1806,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,AQUIDA-MS138-AQUIDA-M,,
923,1138,1861,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,SIDROL-MS138-SIDROL-M,,
924,1138,1862,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,SIDROL-MS138-SIDROL-M,,
925,1140,1825,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,DOUNAC-MS138-DOUNAC-M,,
926,1140,1825,0,02,0.000,0.000,1,1,0,0.000000,0.00000,403,0,DOUNAC-MS138-DOUNAC-M,,
927,1141,1824,0,01,0.000,0.000,1,1,0,0.000000,0.00000,103,0,ELDORA-MS138-ELDORA-M,,
928,1144,1125,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,MIMOSO-MS138-MIMOS1UH,,
929,1144,1126,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,MIMOSO-MS138-MIMOS2UH,,
930,1144,1849,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,MIMOSO-MS138-MIMOSO-M,,
931,1147,10026,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,NANDRA-MS138-NANDRA-M,,
932,1148,1834,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,SGABRI-MS138-SGABRI-M,,
933,1148,1852,0,01,0.000,0.000,1,1,0,0.000000,0.00000,403,0,SGABRI-MS138-SGABRI-M,,
934,1153,1168,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,14JULH-RS230-14JUL-UH,,
935,1154,1166,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,CALVES-RS230-CALVESUH,,
936,1161,1159,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,MCLA-G-RS230-MCLAROUH,,
937,1163,9594,41086,01,0.000,0.000,1,1,1,1.028767,-36.50916,2,0,LAJGDE-RS230-LGR-1--R,41285,LGR-1--RS000
938,1163,9594,41087,02,0.000,0.000,1,1,1,1.028314,-36.57129,2,0,LAJGDE-RS230-LGR-2--R,41286,LGR-2--RS000
939,1174,1173,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,CANDI3-RS230-CANDI3UT,,
940,1178,43486,43487,01,0.000,0.000,1,1,1,0.988266,-40.48742,5,0,MASISA-RS230-MASI-1-R,43485,MASI-1-RS000
941,1181,1298,1299,01,0.000,0.000,1,1,1,1.025568,-39.03902,2,0,VENAIRSIN000-VENAIR-R,1297,VENAIR-RS000
942,1185,1186,41008,01,0.000,0.000,1,1,1,1.024414,-36.70495,3,0,ALEGR2-RS069-ALEG-1-R,41211,ALEG-1-RS000
943,1185,1186,41009,02,0.000,0.000,1,1,1,1.024518,-36.71327,3,0,ALEGR2-RS069-ALEG-2-R,41212,ALEG-2-RS000
944,1188,1189,41014,01,0.000,0.000,1,1,1,1.020430,-35.58355,2,0,BAGE2--RS230-BAG2-1-R,41216,BAG2-1-RS000
945,1188,1189,41015,02,0.000,0.000,1,1,1,1.020300,-35.57778,2,0,BAGE2--RS230-BAG2-2-R,41217,BAG2-2-RS000
946,1188,1189,41013,05,0.000,0.000,1,1,1,1.020087,-35.59199,2,0,BAGE2--RS230-BAG2-5-R,41218,BAG2-5-RS000
947,1190,1324,41054,01,0.000,0.000,1,1,1,1.011675,-41.05269,2,0,CANOA1-RS230-CNA1-1-R,41253,CNA1-1-RS000
948,1190,9593,41021,02,0.000,0.000,1,1,1,1.013150,-40.12163,2,0,CANOA1-RS230-CNA1-2-R,41254,CNA1-2-RS000
949,1192,9279,41025,01,0.000,0.000,1,1,1,1.010866,-38.39484,2,0,CAXIA5-RS230-CAX5-1-R,41226,CAX5-1-RS000
950,1192,9282,41023,02,0.000,0.000,1,1,1,1.016266,-38.41891,2,0,CAXIA5-RS230-CAX5-2-R,41227,CAX5-2-RS000
951,1192,1193,41024,03,0.000,0.000,1,1,1,1.015833,-37.72029,2,0,CAXIA5-RS230-CAX5-3-R,41228,CAX5-3-RS000
952,1194,1195,41018,01,0.000,0.000,1,1,1,1.012247,-38.65651,2,0,CAMAQU-RS230-CAMA-1-R,41221,CAMA-1-RS000
953,1194,1195,41019,05,0.000,0.000,1,1,1,1.012295,-38.64303,2,0,CAMAQU-RS230-CAMA-5-R,41222,CAMA-5-RS000
954,1196,1198,41033,01,0.000,0.000,1,1,1,1.019929,-39.90000,3,0,CAMPOB-RS069-CBOM-1-R,41232,CBOM-1-RS000
955,1196,1198,41034,02,0.000,0.000,1,1,1,1.019833,-39.92044,3,0,CAMPOB-RS069-CBOM-2-R,41233,CBOM-2-RS000
956,1196,1198,41032,07,0.000,0.000,1,1,1,1.019774,-39.94146,3,0,CAMPOB-RS069-CBOM-7-R,41234,CBOM-7-RS000
957,1197,1199,41075,01,0.000,0.000,1,1,1,1.018569,-39.70779,3,0,GUAIB2-RS069-GUA2-1-R,41277,GUA2-1-RS000
958,1197,1199,41076,02,0.000,0.000,1,1,1,1.019511,-39.54398,3,0,GUAIB2-RS069-GUA2-2-R,41278,GUA2-2-RS000
959,1197,1199,41077,03,0.000,0.000,1,1,1,1.019120,-39.57798,3,0,GUAIB2-RS069-GUA2-3-R,41279,GUA2-3-RS000
960,1198,9201,41035,03,0.000,0.000,1,1,1,1.014521,-39.66648,2,0,CAMPOB-RS230-CBOM-3-R,41235,CBOM-3-RS000
961,1198,9216,41031,06,0.000,0.000,1,1,1,0.997903,-39.37963,2,0,CAMPOB-RS230-CBOM-6-R,41236,CBOM-6-RS000
962,1200,1201,41022,01,0.000,0.000,1,1,1,1.011724,-38.21921,2,0,CAXIA2-RS230-CAX2-1-R,41225,CAX2-1-RS000
963,1201,9281,0,02,0.000,0.000,1,1,0,0.000000,0.00000,3,0,CAXIA2-RS069-CAXIA2-R,,
964,1204,1337,41138,01,0.000,0.000,1,1,1,0.973214,-44.04093,2,0,PPETRO-RS230-PPE--1-R,41338,PPE--1-RS000
965,1204,2077,41142,07,0.000,0.000,1,1,1,1.019515,-41.51752,2,0,PPETRO-RS230-PPE--7-R,41339,PPE--7-RS000
966,1204,41139,41144,02,0.000,0.000,1,1,1,0.973297,-44.03124,2,0,PPETRO-RS230-PPE--2-R,41340,PPE--2-RS000
967,1204,2077,41143,08,0.000,0.000,1,1,1,1.019720,-41.51027,2,0,PPETRO-RS230-PPE--8-R,41341,PPE--8-RS000
968,1204,41140,41145,03,0.000,0.000,1,1,1,0.972567,-44.03670,2,0,PPETRO-RS230-PPE--3-R,41342,PPE--3-RS000
969,1204,41141,41146,04,0.000,0.000,1,1,1,0.972637,-44.02859,2,0,PPETRO-RS230-PPE--4-R,41343,PPE--4-RS000
970,1205,1206,41066,01,0.000,0.000,1,1,1,1.018423,-39.08953,3,0,GARIBA-RS069-GAR-1--R,41265,GAR-1--RS000
971,1205,1206,41067,02,0.000,0.000,1,1,1,1.018525,-39.07955,3,0,GARIBA-RS069-GAR-2--R,41266,GAR-2--RS000
972,1209,1210,41068,01,0.000,0.000,1,1,1,1.018981,-40.55304,3,0,GRAVA2-RS069-GRA2-1-R,41267,GRA2-1-RS000
973,1209,1210,41069,02,0.000,0.000,1,1,1,1.017554,-40.70844,3,0,GRAVA2-RS069-GRA2-2-R,41268,GRA2-2-RS000
974,1210,9284,41070,03,0.000,0.000,1,1,1,0.993889,-40.36630,2,0,GRAVA2-RS230-GRA--3-R,41270,GRA--3-RS000
975,1210,10265,43496,04,0.000,0.000,1,1,1,0.960142,-40.50550,2,0,GRAVA2-RS230-GRA2-4-R,43920,GRA2-4-RS000
976,1212,9241,41057,01,0.000,0.000,1,1,1,1.002112,-39.72107,2,0,ELDORA-RS230-ELDO-1-R,41257,ELDO-1-RS000
977,1213,1214,41078,01,0.000,0.000,1,1,1,1.019903,-34.72385,2,0,GUARIT-RS230-GRT--1-R,41274,GRT--1-RS000
978,1213,1214,41079,02,0.000,0.000,1,1,1,1.019873,-34.73304,2,0,GUARIT-RS230-GRT--2-R,41275,GRT--2-RS000
979,1213,1214,41080,07,0.000,0.000,1,1,1,1.021994,-34.83507,2,0,GUARIT-RS230-GRT--7-R,41276,GRT--7-RS000
980,1215,1155,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,ITAUBA-RS230-ITAUBAUH,,
981,1215,1156,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,ITAUBA-RS230-ITAUBASI,,
982,1216,1162,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,JACUI--RS138-JACUI-UH,,
983,1216,1220,0,07,0.000,0.000,1,1,0,0.000000,0.00000,3,0,JACUI--RS138-JACUIR-R,,
984,1218,2081,41083,01,0.000,0.000,1,1,1,1.028311,-40.96772,2,0,LAJEA2-RS230-LAJ2-1-R,41282,LAJ2-1-RS000
985,1218,2081,41084,02,0.000,0.000,1,1,1,1.028332,-40.95754,2,0,LAJEA2-RS230-LAJ2-2-R,41283,LAJ2-2-RS000
986,1218,2081,41085,03,0.000,0.000,1,1,1,1.028326,-40.95211,2,0,LAJEA2-RS230-LAJ2-3-R,41284,LAJ2-3-RS000
987,1223,1176,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,DFRANC-RS230-DFRANCUH,,
988,1223,1177,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,DFRANC-RS230-DFRANCSI,,
989,1225,1235,41094,01,0.000,0.000,1,1,1,1.021452,-37.60790,2,0,MACAMB-RS230-MBR-1--R,41291,MBR-1--RS000
990,1225,1235,41091,07,0.000,0.000,1,1,1,1.020735,-37.53531,2,0,MACAMB-RS230-MBR-7--R,41292,MBR-7--RS000
991,1225,1235,41092,09,0.000,0.000,1,1,1,1.021297,-37.58722,2,0,MACAMB-RS230-MBR-9--R,41293,MBR-9--RS000
992,1226,1228,41099,01,0.000,0.000,1,1,1,1.020680,-36.23720,3,0,NPRAT2-RS069-NPR2-1-R,41298,NPR2-1-RS000
993,1226,1228,41100,02,0.000,0.000,1,1,1,1.020680,-36.23720,3,0,NPRAT2-RS069-NPR2-2-R,41299,NPR2-2-RS000
994,1230,9203,9204,04,0.000,0.000,1,1,1,0.999369,-35.99043,2,0,LIVRA2-RS230-LIV--4-R,9202,LIV--4-RS000
995,1230,9204,41088,01,0.000,0.000,1,1,1,0.999359,-36.03412,2,0,LIVRA2-RS230-LIV2-1-R,9213,LIV2-1-RS000
996,1231,1232,41106,01,0.000,0.000,1,1,1,1.000059,-36.91995,2,0,OSORI2-RS230-OSO2-1-R,41306,OSO2-1-RS000
997,1231,1232,41107,02,0.000,0.000,1,1,1,1.000893,-36.86752,2,0,OSORI2-RS230-OSO2-2-R,41307,OSO2-2-RS000
998,1231,1232,41108,05,0.000,0.000,1,1,1,1.000060,-36.91993,2,0,OSORI2-RS230-OSO2-5-R,41308,OSO2-5-RS000
999,1235,9205,0,02,0.000,0.000,1,1,0,0.000000,0.00000,3,0,MACAMB-RS069-MACAMB-R,,
1000,1235,9205,0,08,0.000,0.000,1,1,0,0.000000,0.00000,3,0,MACAMB-RS069-MACAMB-R,,
1001,1236,1240,41129,01,0.000,0.000,1,1,1,1.000174,-38.41551,2,0,PELOT3-RS230-PEL3-1-R,41329,PEL3-1-RS000
1002,1236,1240,41130,02,0.000,0.000,1,1,1,1.000158,-38.41171,2,0,PELOT3-RS230-PEL3-2-R,41330,PEL3-2-RS000
1003,1236,1240,41131,03,0.000,0.000,1,1,1,0.999919,-38.43699,2,0,PELOT3-RS230-PEL3-3-R,41331,PEL3-3-RS000
1004,1238,9242,0,09,0.000,0.000,1,1,0,0.000000,0.00000,4,0,PMEDIC-RS138-PMEDIC-R,,
1005,1238,1239,41198,07,0.000,0.000,1,1,1,1.001913,-36.11517,4,0,PMEDIC-RS138-UPME-7-R,41394,UPME-7-RS000
1006,1239,43489,43490,08,0.000,0.000,1,1,1,1.010257,-32.47273,2,0,PMEDIC-RS230-UPME-8-R,43488,UPME-8-RS000
1007,1242,1243,41200,01,0.000,0.000,1,1,1,1.001449,-28.81021,3,0,PREAL--RS138-PRE--1-R,41344,PRE--1-RS000
1008,1242,1243,41199,02,0.000,0.000,1,1,1,1.000189,-28.97850,3,0,PREAL--RS138-PRE--2-R,41345,PRE--2-RS000
1009,1243,1175,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,PREAL--RS230-PREAL-UH,,
1010,1245,1246,41151,02,0.000,0.000,1,1,1,1.017930,-40.02311,4,0,QUINTA-RS069-QUI--2-R,41346,QUI--2-RS000
1011,1245,1246,41149,05,0.000,0.000,1,1,1,1.017148,-40.17473,4,0,QUINTA-RS069-QUI--5-R,41348,QUI--5-RS000
1012,1246,1247,41147,01,0.000,0.000,1,1,1,0.998941,-37.08390,2,0,QUINTA-RS230-QUI--1-R,41347,QUI--1-RS000
1013,1246,1247,41148,02,0.000,0.000,1,1,1,0.998946,-37.07902,2,0,QUINTA-RS230-QUI--2-R,41349,QUI--2-RS000
1014,1246,1247,41150,03,0.000,0.000,1,1,1,0.998947,-37.07868,2,0,QUINTA-RS230-QUI--3-R,41350,QUI--3-RS000
1015,1248,1152,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,CANOA2-RS230-CANO-GUT,,
1016,1248,1169,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,CANOA2-RS230-CANO-VUT,,
1017,1249,2094,41193,01,0.000,0.000,1,1,1,1.022583,-38.97119,2,0,TAQUAR-RS230-TAQ--1-R,41389,TAQ--1-RS000
1018,1249,2094,41194,02,0.000,0.000,1,1,1,1.022797,-38.94517,2,0,TAQUAR-RS230-TAQ--2-R,41390,TAQ--2-RS000
1019,1250,1251,41153,01,0.000,0.000,1,1,1,1.024452,-34.64700,2,0,SANGE2-RS230-SAG2-1-R,41352,SAG2-1-RS000
1020,1250,1251,41154,02,0.000,0.000,1,1,1,1.024498,-34.63398,2,0,SANGE2-RS230-SAG2-2-R,41353,SAG2-2-RS000
1021,1251,9285,0,03,0.000,0.000,1,1,0,0.000000,0.00000,3,0,SANGEL-RS069-SANGEL-R,,
1022,1251,9285,0,04,0.000,0.000,1,1,0,0.000000,0.00000,3,0,SANGEL-RS069-SANGEL-R,,
1023,1253,9206,0,02,0.000,0.000,1,1,0,0.000000,0.00000,3,0,SBORJ2-RS069-SBORJA-R,,
1024,1253,9206,0,05,0.000,0.000,1,1,0,0.000000,0.00000,3,0,SBORJ2-RS069-SBORJA-R,,
1025,1253,1254,41156,01,0.000,0.000,1,1,1,1.019654,-36.18495,3,0,SBORJ2-RS069-SBO2-1-R,41357,SBO2-1-RS000
1026,1253,1254,41157,06,0.000,0.000,1,1,1,1.019700,-36.19401,3,0,SBORJ2-RS069-SBO2-6-R,41358,SBO2-6-RS000
1027,1253,1254,41158,07,0.000,0.000,1,1,1,1.009873,-35.19991,3,0,SBORJ2-RS069-SBO2-7-R,41359,SBO2-7-RS000
1028,1256,2088,41164,01,0.000,0.000,1,1,1,1.022007,-37.02772,2,0,SCRUZ1-RS230-SCR1-1-R,41365,SCR1-1-RS000
1029,1256,2088,41165,02,0.000,0.000,1,1,1,1.021950,-37.03845,2,0,SCRUZ1-RS230-SCR1-2-R,41366,SCR1-2-RS000
1030,1256,2088,41168,05,0.000,0.000,1,1,1,1.021991,-37.03406,2,0,SCRUZ1-RS230-SCR1-5-R,41367,SCR1-5-RS000
1031,1256,9753,41166,06,0.000,0.000,1,1,1,1.015897,-37.23519,2,0,SCRUZ1-RS230-SCZ1-6-R,41368,SCZ1-6-RS000
1032,1256,9754,41167,07,0.000,0.000,1,1,1,1.012447,-36.82472,2,0,SCRUZ1-RS230-SCZ1-7-R,41369,SCZ1-7-RS000
1033,1257,1258,41050,01,0.000,0.000,1,1,1,1.018384,-38.27469,3,0,CINPAL-RS138-CIN-1--R,41250,CIN-1--RS000
1034,1257,1258,41051,02,0.000,0.000,1,1,1,1.018384,-38.27469,3,0,CINPAL-RS138-CIN-2--R,41252,CIN-2--RS000
1035,1258,9207,41052,01,0.000,0.000,1,1,1,0.991920,-41.27598,2,0,CINPAL-RS230-CIND-1-R,41249,CIND-1-RS000
1036,1258,9217,41053,02,0.000,0.000,1,1,1,0.993021,-40.49484,2,0,CINPAL-RS230-CIND-2-R,41251,CIND-2-RS000
1037,1259,9243,41114,01,0.000,0.000,1,1,1,0.994748,-39.43379,2,0,PALGR4-RS230-PAL4-A-R,41315,PAL4-A-RS000
1038,1259,9251,41115,02,0.000,0.000,1,1,1,0.977328,-41.44389,2,0,PALGR4-RS230-PAL4-B-R,41316,PAL4-B-RS000
1039,1259,9252,41116,03,0.000,0.000,1,1,1,0.977019,-41.32841,2,0,PALGR4-RS230-PAL4-C-R,41317,PAL4-C-RS000
1040,1259,9253,41117,04,0.000,0.000,1,1,1,0.996578,-41.05300,2,0,PALGR4-RS230-PAL4-D-R,41321,PAL4-D-RS000
1041,1259,9254,41118,06,0.000,0.000,1,1,1,0.997392,-40.84215,2,0,PALGR4-RS230-PAL4-E-R,41322,PAL4-E-RS000
1042,1262,9300,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,PALGR6-RS069-PALE6B-R,,
1043,1262,1263,41119,01,0.000,0.000,1,1,1,1.010609,-39.56173,3,0,PALGR6-RS069-PAL6-1-R,41319,PAL6-1-RS000
1044,1262,1263,41120,02,0.000,0.000,1,1,1,1.010552,-39.55592,3,0,PALGR6-RS069-PAL6-2-R,41320,PAL6-2-RS000
1045,1263,9244,41121,06,0.000,0.000,1,1,1,1.006826,-41.06530,2,0,PALGR6-RS230-PAL6-6-R,41318,PAL6-6-RS000
1046,1263,10266,43498,07,0.000,0.000,1,1,1,0.999000,-41.09247,2,0,PALGR6-RS230-PAL6-7-R,43497,PAL6-7-RS000
1047,1264,1271,41123,01,0.000,0.000,1,1,1,1.018645,-40.11491,2,0,PALGR8-RS230-PAL8-1-R,41323,PAL8-1-RS000
1048,1264,1271,41124,02,0.000,0.000,1,1,1,1.018781,-40.09835,2,0,PALGR8-RS230-PAL8-2-R,41324,PAL8-2-RS000
1049,1264,1271,41122,03,0.000,0.000,1,1,1,1.018311,-40.24229,2,0,PALGR8-RS230-PAL8-3-R,41325,PAL8-3-RS000
1050,1266,1267,41125,02,0.000,0.000,1,1,1,1.019978,-39.61368,3,0,PALGR9-RS069-PAL9-2-R,41327,PAL9-2-RS000
1051,1266,1267,41126,05,0.000,0.000,1,1,1,1.020064,-39.64942,3,0,PALGR9-RS069-PAL9-5-R,41328,PAL9-5-RS000
1052,1267,1352,41127,01,0.000,0.000,1,1,1,0.990947,-41.95286,2,0,PALGR9-RS230-PAL9-1-R,41326,PAL9-1-RS000
1053,1267,10267,43885,06,0.000,0.000,1,1,1,1.005547,-41.14167,2,0,PALGR9-RS230-PAL9-6-R,43878,PAL9-6-RS000
1054,1268,1269,41109,01,0.000,0.000,1,1,1,1.009992,-39.78317,2,0,PALG10-RS230-PA10-1-R,41310,PA10-1-RS000
1055,1268,1269,41110,02,0.000,0.000,1,1,1,1.010031,-39.78877,2,0,PALG10-RS230-PA10-2-R,41311,PA10-2-RS000
1056,1270,9246,41111,01,0.000,0.000,1,1,1,0.992378,-40.48921,2,0,PALG13-RS230-PA13-1-R,41313,PA13-1-RS000
1057,1270,9260,41128,02,0.000,0.000,1,1,1,0.993110,-41.09105,2,0,PALG13-RS230-PA13-2-R,41314,PA13-2-RS000
1058,1273,41170,41171,02,0.000,0.000,1,1,1,0.979963,-42.11598,5,0,SIDERU-RS230-SIDR-1-R,41370,SIDR-1-RS000
1059,1273,41169,41171,01,0.000,0.000,1,1,1,0.979962,-42.11616,5,0,SIDERU-RS230-SIDR-1-R,41409,SIDR-1-RS000
1060,1275,1284,0,02,0.000,0.000,1,1,0,0.000000,0.00000,3,0,SMARTA-RS138-SMARTA-R,,
1061,1275,10208,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,SMARTA-RS138-SMARTA-R,,
1062,1275,1281,41178,01,0.000,0.000,1,1,1,0.995202,-29.47813,3,0,SMARTA-RS138-SMT--1-R,41376,SMT--1-RS000
1063,1275,1281,41179,02,0.000,0.000,1,1,1,0.994876,-29.49908,3,0,SMARTA-RS138-SMT--2-R,41377,SMT--2-RS000
1064,1278,1383,41174,01,0.000,0.000,1,1,1,1.015779,-33.90746,2,0,SMARI3-RS230-SM3--1-R,41371,SM3--1-RS000
1065,1278,1383,41175,02,0.000,0.000,1,1,1,1.015779,-33.90746,2,0,SMARI3-RS230-SM3--2-R,41372,SM3--2-RS000
1066,1278,2087,41172,01,0.000,0.000,1,1,1,1.029111,-36.31926,2,0,SMARI3-RS230-SMA3-1-R,41373,SMA3-1-RS000
1067,1278,2087,41176,05,0.000,0.000,1,1,1,1.028593,-36.27283,2,0,SMARI3-RS230-SMA3-5-R,41374,SMA3-5-RS000
1068,1278,2087,41173,02,0.000,0.000,1,1,1,1.029066,-36.34016,2,0,SMARI3-RS230-SMA3-2-R,41375,SMA3-2-RS000
1069,1279,1281,41180,03,0.000,0.000,1,1,1,1.020987,-33.79392,3,0,SMARTA-RS069-SMT--3-R,41378,SMT--3-RS000
1070,1279,1281,41177,11,0.000,0.000,1,1,1,1.021022,-33.84422,3,0,SMARTA-RS069-SMT-11-R,41379,SMT-11-RS000
1071,1282,1283,41181,09,0.000,0.000,1,1,1,1.022601,-34.22627,3,0,SROSA--RS069-SRO1-9-R,41380,SRO1-9-RS000
1072,1282,1283,41182,01,0.000,0.000,1,1,1,1.022800,-34.20611,3,0,SROSA--RS069-SRO1-1-R,41381,SRO1-1-RS000
1073,1282,1283,41183,05,0.000,0.000,1,1,1,1.022478,-34.23890,3,0,SROSA--RS069-SRO--5-R,41382,SRO--5-RS000
1074,1286,1289,41184,01,0.000,0.000,1,1,1,1.020630,-36.87102,2,0,SVICEN-RS230-SVI--1-R,41383,SVI--1-RS000
1075,1286,1289,41185,02,0.000,0.000,1,1,1,1.020717,-36.89087,2,0,SVICEN-RS230-SVI--2-R,41384,SVI--2-RS000
1076,1286,1289,41186,06,0.000,0.000,1,1,1,1.020497,-36.90961,2,0,SVICEN-RS230-SVI--6-R,41385,SVI--6-RS000
1077,1287,1288,9308,01,0.000,0.000,1,1,1,1.011784,-33.45291,2,0,PASSME-RS230-PME--1-R,9315,PME--1-RS000
1078,1287,10150,41135,02,0.000,0.000,1,1,1,1.014608,-34.76460,2,0,PASSME-RS230-PME--2-R,41335,PME--2-RS000
1079,1289,9208,0,03,0.000,0.000,1,1,0,0.000000,0.00000,3,0,SVICEN-RS069-SVICEN-R,,
1080,1291,1292,41190,01,0.000,0.000,1,1,1,1.018156,-33.91362,2,0,TAPERA-RS230-TPR--1-R,41391,TPR--1-RS000
1081,1291,1292,41191,02,0.000,0.000,1,1,1,1.018147,-33.91460,2,0,TAPERA-RS230-TPR--2-R,41392,TPR--2-RS000
1082,1291,1292,41192,03,0.000,0.000,1,1,1,1.017721,-33.97661,2,0,TAPERA-RS230-TPR--3-R,41393,TPR--3-RS000
1083,1294,1164,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,URUGUA-RS230-URUG-GUT,,
1084,1294,1165,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,URUGUA-RS230-URUG-VUT,,
1085,1295,1296,41201,01,0.000,0.000,1,1,1,1.025384,-38.79700,3,0,URUGU5-RS069-URU5-1-R,41395,URU5-1-RS000
1086,1295,1296,41202,02,0.000,0.000,1,1,1,1.025279,-38.74779,3,0,URUGU5-RS069-URU5-2-R,41396,URU5-2-RS000
1087,1295,1296,41203,05,0.000,0.000,1,1,1,1.025341,-38.75295,3,0,URUGU5-RS069-URU5-5-R,41397,URU5-5-RS000
1088,1296,1068,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,URUGU5-RS230-CFURUG-R,,
1089,1298,9210,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,VENAIR-RS069-VAIT34-R,,
1090,1298,9211,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,VENAIR-RS069-VAIRT5-R,,
1091,1298,1299,10420,03,0.000,0.000,1,1,1,1.000031,-39.17445,3,0,VENAIR-RS069-VAI--3-R,10419,VAI--3-RS000
1092,1298,1299,41204,02,0.000,0.000,1,1,1,1.025567,-39.02323,3,0,VENAIR-RS069-VAI--2-R,41403,VAI--2-RS000
1093,1301,2061,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,CALTA1-RS069-CRUZAL-R,,
1094,1301,9660,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,CALTA1-RS069-CAL1-B-R,,
1095,1302,9674,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,IJUI1--RS069-IJUI1--R,,
1096,1307,1333,0,01,0.000,0.000,1,1,0,0.000000,0.00000,3,0,PANAM--RS069-PANAMB-R,,
1097,1313,1314,41071,01,0.000,0.000,1,1,1,1.022338,-43.45894,2,0,GRAVA3-RS230-GRA3-1-R,41269,GRA3-1-RS000
1098,1315,41063,41065,01,0.000,0.000,1,1,1,0.984727,-39.35628,5,0,FIBRAP-RS230-FIB--1-R,41263,FIB--1-RS000
1099,1315,41063,41064,02,0.000,0.000,1,1,1,0.985578,-39.38201,5,0,FIBRAP-RS230-FIB--2-R,41264,FIB--2-RS000
1100,1320,1368,0,01,0.000,0.000,1,1,0,0.000000,0.00000,2,0,LBARRO-RS230-LBARR1-R,,
1101,1320,1372,0,02,0.000,0.000,1,1,0,0.000000,0.00000,2,0,LBARRO-RS230-LBARR3-R,,
1102,1320,1373,0,03,0.000,0.000,1,1,0,0.000000,0.00000,2,0,LBARRO-RS230-LBARR2-R,,
1103,1320,9196,0,04,0.000,0.000,1,1,0,0.000000,0.00000,2,0,LBARRO-RS230-LBARR4-R,,
